Airline,Aircraft,FlightDuration,TravelMonth,IsInternational,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceEconomy,PricePremium,PriceRelative,SeatsTotal,PitchDifference,WidthDifference,PercentPremiumSeats
Jet,Boeing,4.08,Sep,International,124,16,30,40,17,21,156,318,1.04,140,10,4,11.43
Jet,Boeing,4.16,Oct,International,124,16,30,40,17,21,156,318,1.04,140,10,4,11.43
Jet,Boeing,4.16,Sep,International,124,16,30,40,17,21,324,620,0.91,140,10,4,11.43
Jet,Boeing,2.5,Aug,International,124,16,30,40,17,21,147,267,0.81,140,10,4,11.43
Jet,Boeing,2.66,Aug,International,124,16,30,40,17,21,127,228,0.79,140,10,4,11.43
Jet,Boeing,4.33,Jul,International,124,16,30,40,17,21,154,267,0.74,140,10,4,11.43
Jet,Boeing,4.33,Aug,International,124,16,30,40,17,21,154,267,0.74,140,10,4,11.43
Jet,Boeing,4.33,Sep,International,124,16,30,40,17,21,154,267,0.74,140,10,4,11.43
Jet,Boeing,4.33,Oct,International,124,16,30,40,17,21,154,267,0.74,140,10,4,11.43
Jet,Boeing,3.25,Sep,International,124,16,30,40,17,21,322,483,0.5,140,10,4,11.43
Jet,Boeing,3.25,Jul,International,124,16,30,40,17,21,594,696,0.17,140,10,4,11.43
AirFrance,Boeing,6.91,Sep,International,216,24,32,38,17,19,648,1710,1.64,240,6,2,10
AirFrance,Boeing,6.91,Oct,International,216,24,32,38,17,19,648,1710,1.64,240,6,2,10
AirFrance,Boeing,6.91,Aug,International,216,24,32,38,17,19,700,1710,1.44,240,6,2,10
AirFrance,Boeing,6.91,Jul,International,216,24,32,38,17,19,1094,1710,0.56,240,6,2,10
Singapore,AirBus,13.33,Jul,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,13.33,Aug,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,13.33,Sep,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,13.33,Oct,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,6.16,Jul,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,6.16,Aug,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,6.16,Sep,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,6.16,Oct,International,333,36,32,38,19,20,505,1004,0.99,369,6,1,9.76
Singapore,AirBus,12.66,Jul,International,333,36,32,38,19,20,690,1110,0.61,369,6,1,9.76
